date,partner,partner_type,platform,notes
6/1/2021,Rosemilk Ceramics,Art/Lifestyle,DTC,Female artist collab on packaging illustration
6/1/2021,Anastasia Inciardi,Art/Lifestyle,DTC,Female artist collab on packaging illustration
9/1/2021,Parade,Fashion/Lifestyle,DTC,Early DTC brand collab
9/1/2021,Brightland,Food,DTC,Premium olive oil brand collab
9/1/2021,Haus,Lifestyle/Beverage,DTC,Aperitif brand collab
9/1/2021,Ghia,Lifestyle/Beverage,DTC,Non-alcoholic aperitif brand collab
6/1/2022,Fly by Jing,Food,DTC + retail,First co-branded product — Sichuan chili crisp salmon
8/1/2022,Graza,Food,DTC,Campfire Cod — smoked cod in Graza olive oil with Diaspora Co pepper
8/1/2022,Diaspora Co,Food,DTC,Contributing partner on Campfire Cod collab with Graza
9/1/2022,Lisa Says Gah,Fashion/Lifestyle,DTC,Independent fashion brand collab
9/1/2022,Jacobsen Salt,Food,DTC,Oregon salt company collab
9/1/2022,East Fork Pottery,Art/Lifestyle,DTC,Asheville ceramics brand collab
7/1/2024,Bagelshop Nashville,Food/Local,In-store,Limited edition tuna melt bagel sandwich
5/8/2025,Chaco,Fashion/Lifestyle,Retail,Mermaid-inspired Z/1 sandal collab