Time,Fishwife Tinned Seafood Co,tinned fish,canned fish
12/1/2019,0,2,20
1/1/2020,0,2,27
2/1/2020,0,2,29
3/1/2020,0,2,33
4/1/2020,0,3,36
5/1/2020,0,4,33
6/1/2020,0,2,28
7/1/2020,0,2,29
8/1/2020,0,2,28
9/1/2020,0,1,24
10/1/2020,0,1,25
11/1/2020,0,1,24
12/1/2020,0,3,27
1/1/2021,0,2,27
2/1/2021,0,1,30
3/1/2021,0,2,32
4/1/2021,0,2,26
5/1/2021,0,2,27
6/1/2021,0,3,30
7/1/2021,0,4,31
8/1/2021,0,3,30
9/1/2021,0,3,27
10/1/2021,0,2,28
11/1/2021,0,3,26
12/1/2021,0,5,26
1/1/2022,0,5,34
2/1/2022,0,4,35
3/1/2022,0,4,38
4/1/2022,0,6,37
5/1/2022,0,4,33
6/1/2022,0,6,33
7/1/2022,0,6,41
8/1/2022,0,7,35
9/1/2022,0,12,35
10/1/2022,0,10,33
11/1/2022,0,10,30
12/1/2022,0,17,37
1/1/2023,0,15,38
2/1/2023,0,11,40
3/1/2023,0,13,39
4/1/2023,0,16,36
5/1/2023,0,15,36
6/1/2023,0,16,41
7/1/2023,0,23,43
8/1/2023,0,19,40
9/1/2023,0,22,39
10/1/2023,0,16,36
11/1/2023,0,30,40
12/1/2023,0,29,41
1/1/2024,0,38,49
2/1/2024,0,22,42
3/1/2024,0,18,44
4/1/2024,0,23,41
5/1/2024,0,19,40
6/1/2024,0,23,41
7/1/2024,0,20,43
8/1/2024,0,19,44
9/1/2024,0,21,44
10/1/2024,0,23,42
11/1/2024,0,31,39
12/1/2024,0,60,50
1/1/2025,0,39,51
2/1/2025,0,30,50
3/1/2025,0,34,53
4/1/2025,0,40,52
5/1/2025,0,36,52
6/1/2025,0,37,51
7/1/2025,0,35,58
8/1/2025,0,42,54
9/1/2025,0,35,51
10/1/2025,0,42,55
11/1/2025,0,56,60
12/1/2025,0,93,66
1/1/2026,0,61,74
2/1/2026,0,53,71
3/1/2026,0,69,85
4/1/2026,0,66,100
5/1/2026,0,62,78